alpha,beta,MSE,MAE,R2
0.1,0.1,0.006223474,0.053061207,0.577149668
0.1,0.2,0.006230957,0.053129875,0.576641262
0.1,0.3,0.006211227,0.052939768,0.577981815
0.1,0.4,0.006205026,0.052907833,0.578403148
0.1,0.5,0.006236343,0.053037798,0.576275299
0.1,0.6,0.006213682,0.05302787,0.57781499
0.1,0.7,0.006226028,0.052980553,0.576976168
0.1,0.8,0.00624242,0.053136806,0.575862435
0.1,0.9,0.006218647,0.052861602,0.577477635
0.2,0.1,0.006222792,0.053114977,0.577196051
0.2,0.2,0.006222166,0.053121256,0.577238555
0.2,0.3,0.006221819,0.053075964,0.577262136
0.2,0.4,0.006221543,0.053022022,0.577280905
0.2,0.5,0.00622824,0.053050319,0.57682584
0.2,0.6,0.006237058,0.052975687,0.576226762
0.2,0.7,0.006242906,0.053045106,0.575829381
0.2,0.8,0.006219967,0.052919814,0.577387998
0.2,0.9,0.006241726,0.052937735,0.575909564
0.3,0.1,0.006208476,0.052951559,0.578168731
0.3,0.2,0.006228142,0.053059694,0.57683255
0.3,0.3,0.006227755,0.053065087,0.576858842
0.3,0.4,0.006224541,0.05306846,0.577077207
0.3,0.5,0.006225105,0.052988297,0.577038901
0.3,0.6,0.006214604,0.052806084,0.577752351
0.3,0.7,0.006226817,0.053029847,0.576922544
0.3,0.8,0.006237664,0.053031695,0.576185588
0.3,0.9,0.006234965,0.053037607,0.576368961
0.4,0.1,0.006224734,0.053099723,0.577064063
0.4,0.2,0.006226201,0.053111391,0.576964442
0.4,0.3,0.006221114,0.053012104,0.577310042
0.4,0.4,0.006212408,0.052938676,0.57790158
0.4,0.5,0.006228722,0.052997511,0.57679314
0.4,0.6,0.006204067,0.052920194,0.578468274
0.4,0.7,0.006236069,0.053015066,0.576293963
0.4,0.8,0.006233347,0.052940856,0.576478886
0.4,0.9,0.006248774,0.053068974,0.575430693
0.5,0.1,0.006229789,0.053161385,0.576720618
0.5,0.2,0.006220421,0.053100046,0.5773571
0.5,0.3,0.006209883,0.052951322,0.578073149
0.5,0.1,0.006213929,0.053007518,0.577798219
0.5,0.2,0.006233713,0.053076359,0.576454034
0.5,0.3,0.006229331,0.053146559,0.57675172
0.5,0.4,0.006225171,0.052926658,0.577034394
0.5,0.5,0.006198498,0.052868653,0.57884667
0.5,0.6,0.006220528,0.05295441,0.577349878
0.5,0.7,0.006217017,0.052976342,0.577588404
0.5,0.8,0.006223726,0.052886644,0.577132553
0.5,0.9,0.006228521,0.053029017,0.576806779
0.6,0.1,0.006220238,0.053117546,0.577369567
0.6,0.2,0.006212517,0.053039541,0.577894192
0.6,0.3,0.00623426,0.053120191,0.576416838
0.6,0.4,0.006223088,0.0529935,0.577175894
0.6,0.5,0.006210266,0.052914263,0.57804708
0.6,0.6,0.006222051,0.053030403,0.577246357
0.6,0.7,0.006219285,0.052996276,0.577434334
0.6,0.8,0.006244912,0.053048243,0.575693109
0.6,0.9,0.006237037,0.052939987,0.576228132
0.7,0.1,0.006202373,0.052975688,0.578583377
0.7,0.2,0.00623771,0.0531151,0.576182462
0.7,0.3,0.006210556,0.052917584,0.578027379
0.7,0.4,0.006227104,0.052974923,0.576903053
0.7,0.5,0.006211258,0.052920536,0.577979715
0.7,0.6,0.006220657,0.052887578,0.577341092
0.7,0.7,0.006225863,0.052875298,0.576987363
0.7,0.8,0.00622339,0.052840092,0.577155401
0.7,0.9,0.006238053,0.052960479,0.576159116
0.8,0.1,0.006215493,0.053086233,0.577691972
0.8,0.2,0.00623592,0.053119721,0.576304086
0.8,0.3,0.006235224,0.053058795,0.576351349
0.8,0.4,0.006231022,0.053020646,0.576636828
0.8,0.5,0.006225886,0.052988821,0.576985805
0.8,0.6,0.00622455,0.05298556,0.577076617
0.8,0.7,0.00621594,0.05288923,0.577661561
0.8,0.8,0.006231378,0.052950438,0.576612666
0.8,0.9,0.006251052,0.053020622,0.575275905
0.9,0.1,0.006218067,0.052993026,0.577517055
0.9,0.2,0.006213103,0.052998733,0.577854341
0.9,0.3,0.006204998,0.052958094,0.578405023
0.9,0.4,0.006225317,0.05308305,0.577024454
0.9,0.5,0.006211009,0.052994914,0.577996639
0.9,0.6,0.006230361,0.052971256,0.576681741
0.9,0.7,0.0062439,0.05303419,0.575761879
0.9,0.8,0.006216869,0.052888896,0.577598444
0.9,0.9,0.006218079,0.052940709,0.577516252
