alpha,beta,MSE,MAE,R2
0.01,1,0.006225523,0.052913607,0.577010455
0.02,1,0.006204397,0.05281297,0.578445855
0.03,1,0.006229743,0.052959224,0.576723774
0.04,1,0.006234591,0.05301606,0.576394361
0.05,1,0.006239868,0.053016281,0.576035807
0.06,1,0.006229538,0.052889953,0.576737702
0.07,1,0.006222417,0.052948712,0.577221492
0.08,1,0.006248198,0.053021053,0.575469865
0.09,1,0.006227571,0.052867754,0.576871354
0.1,1,0.006239933,0.052949658,0.576031404
0.11,1,0.006216037,0.052976742,0.577655015
0.12,1,0.006243161,0.053003543,0.575812073
0.13,1,0.006235784,0.052977773,0.576313312
0.14,1,0.006237558,0.053116035,0.576192759
0.15,1,0.006250855,0.05309106,0.575289311
0.16,1,0.006235089,0.05300256,0.576360523
0.17,1,0.006230644,0.05298551,0.576662562
0.18,1,0.006241401,0.052943504,0.575931637
0.19,1,0.006257081,0.053049151,0.574866299
0.2,1,0.006229888,0.052948359,0.576713909
0.21,1,0.00623051,0.052967397,0.576671614
0.22,1,0.006212995,0.052804422,0.577861664
0.23,1,0.006223551,0.052888537,0.577144471
0.24,1,0.006232721,0.052987435,0.576521412
0.25,1,0.006232605,0.052983731,0.576529305
0.26,1,0.006234726,0.053005837,0.576385199
0.27,1,0.006225861,0.05297803,0.576987519
0.28,1,0.006227659,0.053033221,0.57686537
0.29,1,0.006253997,0.053027074,0.575075802
0.3,1,0.00620868,0.052847612,0.578154829
0.31,1,0.006250611,0.052991762,0.575305886
0.32,1,0.006232816,0.052969064,0.576514956
0.33,1,0.006235041,0.052898035,0.576363788
0.34,1,0.006239646,0.052935411,0.576050865
0.35,1,0.006233152,0.052992738,0.576492098
0.36,1,0.006240008,0.053042326,0.576026285
0.37,1,0.006242365,0.0529474,0.575866186
0.38,1,0.006228253,0.052935452,0.576824988
0.39,1,0.006246636,0.052901323,0.575575971
0.4,1,0.006233616,0.052967288,0.576460629
0.41,1,0.006231762,0.053036346,0.57658656
0.42,1,0.006224097,0.05279917,0.577107332
0.43,1,0.006216997,0.052955442,0.577589774
0.44,1,0.006215926,0.052932195,0.577662505
0.45,1,0.006247255,0.053057911,0.575533897
0.46,1,0.006234645,0.053012574,0.576390674
0.47,1,0.006220124,0.053018882,0.577377283
0.48,1,0.006233128,0.052970633,0.576493752
0.49,1,0.006235458,0.052997325,0.576335421
0.5,1,0.006215516,0.052917359,0.577690378
0.51,1,0.006231389,0.053004473,0.576611915
0.52,1,0.00622379,0.053017173,0.577128217
0.53,1,0.006222877,0.052973984,0.577190288
0.54,1,0.006220412,0.052917806,0.577357741
0.55,1,0.006216647,0.052855072,0.577613578
0.56,1,0.006218492,0.052836504,0.577488169
0.57,1,0.006237737,0.053032986,0.576180577
0.58,1,0.006223126,0.052923813,0.577173327
0.59,1,0.006240015,0.0530528,0.576025825
0.6,1,0.006235606,0.053022567,0.576325424
0.61,1,0.006236982,0.053007998,0.576231868
0.62,1,0.006250608,0.053048245,0.575306119
0.63,1,0.006238123,0.053005064,0.576154392
0.64,1,0.006240043,0.053089177,0.576023942
0.65,1,0.006234625,0.052972325,0.576392015
0.66,1,0.006236926,0.052976056,0.576235688
0.67,1,0.006243659,0.053040823,0.575778251
0.68,1,0.006235617,0.052939774,0.576324649
0.69,1,0.006220904,0.052948277,0.577324283
0.7,1,0.006238262,0.053025179,0.576144953
0.71,1,0.006249623,0.052997065,0.575373024
0.72,1,0.006247653,0.05302886,0.57550689
0.73,1,0.006219526,0.052939377,0.577417931
0.74,1,0.00621062,0.052883657,0.578023048
0.75,1,0.006237493,0.052994967,0.576197181
0.76,1,0.006223178,0.053012215,0.57716981
0.77,1,0.006210306,0.052818848,0.578044371
0.78,1,0.006211396,0.052860585,0.577970325
0.79,1,0.006232628,0.052992223,0.576527748
0.8,1,0.006238027,0.052969629,0.576160924
0.81,1,0.006219554,0.052921898,0.577416025
0.82,1,0.006219851,0.052808263,0.57739588
0.83,1,0.006231217,0.052966586,0.576623578
0.84,1,0.006239994,0.052908533,0.576027271
0.85,1,0.006234572,0.052950578,0.576395676
0.86,1,0.006227705,0.053033301,0.57686223
0.87,1,0.006233765,0.052969599,0.576450455
0.88,1,0.006239432,0.05304265,0.57606544
0.89,1,0.006248234,0.053037782,0.575467376
0.9,1,0.006228453,0.052997969,0.576811412
0.91,1,0.006243447,0.052965383,0.575792614
0.92,1,0.006234402,0.053014442,0.576407165
0.93,1,0.006244987,0.052971875,0.575687976
0.94,1,0.006223252,0.052969354,0.577164777
0.95,1,0.006237247,0.052881597,0.576213861
0.96,1,0.006212598,0.052959884,0.577888687
0.97,1,0.006225338,0.052929808,0.577023031
0.98,1,0.006233906,0.052961521,0.576440888
0.99,1,0.006239494,0.053061131,0.576061223
1,1,0.006232536,0.052845962,0.57653401
