,alpha,beta,MSE,MAE,R2,,
0,0.01,1,2653.247457,39.68595209,0.520181501,,
1,0.02,1,2648.367967,39.63508727,0.521063918,,0.523662762
2,0.03,1,2640.222562,39.58266496,0.522536949,,
3,0.04,1,2647.258476,39.67399135,0.52126456,,
4,0.05,1,2655.761622,39.65187403,0.519726835,,
5,0.06,1,2659.577722,39.75261533,0.519036724,,
6,0.07,1,2668.641291,39.7415054,0.51739765,,
7,0.08,1,2662.632154,39.8271915,0.518484354,,
8,0.09,1,2655.090969,39.67918447,0.519848117,,
9,0.1,1,2693.331083,39.98192155,0.512932699,,
10,0.11,1,2654.242184,39.6738555,0.520001613,,
11,0.12,1,2698.770761,40.01612802,0.511948977,,
12,0.13,1,2657.088789,39.75030176,0.519486827,,
13,0.14,1,2663.781765,39.74099255,0.518276456,,
14,0.15,1,2660.255273,39.76450225,0.518914194,,
15,0.16,1,2656.842028,39.69857965,0.519531452,,
16,0.17,1,2670.024678,39.90142287,0.517147476,,
17,0.18,1,2664.741471,39.81998388,0.518102901,,
18,0.19,1,2651.512248,39.71849612,0.5204953,,
19,0.2,1,2655.182527,39.85636491,0.519831559,,
20,0.21,1,2639.079298,39.56547766,0.522743699,,
21,0.22,1,2659.734556,39.77506675,0.519008362,,
22,0.23,1,2656.45881,39.78643125,0.519600754,,
23,0.24,1,2653.137801,39.67132932,0.520201332,,
24,0.25,1,2666.50948,39.81396209,0.517783171,,
25,0.26,1,2654.393826,39.73493229,0.51997419,,
26,0.27,1,2657.666013,39.63919946,0.519382441,,
27,0.28,1,2649.275149,39.66507064,0.520899861,,
28,0.29,1,2652.092744,39.70743047,0.520390322,,
29,0.3,1,2669.453492,39.82291335,0.51725077,,
30,0.31,1,2654.349489,39.76210125,0.519982208,,
31,0.32,1,2663.011104,39.77562496,0.518415824,,
32,0.33,1,2652.319455,39.64888876,0.520349323,,
33,0.34,1,2657.816663,39.77806554,0.519355197,,
34,0.35,1,2658.022831,39.65472564,0.519317913,,
35,0.36,1,2655.881161,39.74002522,0.519705217,,
36,0.37,1,2658.532204,39.69872781,0.519225797,,
37,0.38,1,2667.317966,39.81894997,0.517636963,,
38,0.39,1,2668.436031,39.85088352,0.51743477,,
39,0.4,1,2638.341891,39.54791104,0.522877053,,
40,0.41,1,2656.630381,39.69721106,0.519569727,,
41,0.42,1,2647.216389,39.72818423,0.521272172,,
42,0.43,1,2665.91455,39.85572489,0.517890759,,
43,0.44,1,2654.795419,39.65049092,0.519901565,,
44,0.45,1,2662.800384,39.80854736,0.518453931,,
45,0.46,1,2657.396851,39.78127893,0.519431117,,
46,0.47,1,2662.627503,39.77804402,0.518485195,,
47,0.48,1,2674.460449,39.80630221,0.516345302,,
48,0.49,1,2658.131024,39.75513253,0.519298348,,
49,0.5,1,2639.557835,39.69111465,0.522657159,,
50,0.51,1,2665.122354,39.7290783,0.518034022,,
51,0.52,1,2687.759552,39.95624545,0.513940266,,
52,0.53,1,2657.289307,39.73853826,0.519450565,,
53,0.54,1,2681.473041,39.89537686,0.515077131,,
54,0.55,1,2647.803797,39.69241578,0.521165944,,
55,0.56,1,2659.968945,39.73420098,0.518965974,,
56,0.57,1,2673.773602,39.91110745,0.516469513,,
57,0.58,1,2659.598333,39.79536481,0.519032996,,
58,0.59,1,2648.325221,39.74311842,0.521071648,,
