,alpha,beta,MSE,MAE,R2
0,0.01,0.01,2659.513421,39.68938972,0.519048352
1,0.01,0.02,2640.030389,39.63205231,0.522571702
2,0.01,0.03,2653.851532,39.68841635,0.520072259
3,0.01,0.04,2665.247403,39.81483939,0.518011407
4,0.01,0.05,2657.454983,39.78398172,0.519420604
5,0.01,0.06,2649.07681,39.63729261,0.520935729
6,0.01,0.07,2671.906922,39.80376347,0.516807087
7,0.01,0.08,2673.756637,39.79162877,0.516472581
8,0.01,0.09,2663.195085,39.73652851,0.518382553
9,0.01,0.1,2634.065631,39.50302548,0.523650381
10,0.01,0.11,2671.773253,39.79259501,0.51683126
11,0.01,0.12,2662.813782,39.79294837,0.518451508
12,0.01,0.13,2658.569281,39.63628386,0.519219092
13,0.01,0.14,2663.630806,39.78202664,0.518303756
14,0.01,0.15,2670.113711,39.76890236,0.517131375
15,0.01,0.16,2667.948419,39.82631107,0.51752295
16,0.01,0.17,2670.399278,39.85933768,0.517079732
17,0.01,0.18,2653.095088,39.75663881,0.520209056
18,0.01,0.19,2669.243714,39.66219181,0.517288707
19,0.01,0.2,2639.181291,39.63262532,0.522725254
20,0.01,0.21,2663.025266,39.88236329,0.518413263
21,0.01,0.22,2667.432065,39.78043279,0.517616329
22,0.01,0.23,2668.119297,39.76485771,0.517492049
23,0.01,0.24,2640.272125,39.72247296,0.522527986
24,0.01,0.25,2665.989617,39.74143831,0.517877184
25,0.01,0.26,2654.943654,39.69565848,0.519874758
26,0.01,0.27,2668.074522,39.73938369,0.517500146
27,0.01,0.28,2678.820971,39.89849681,0.515556737
28,0.01,0.29,2670.406759,39.80416937,0.517078379
29,0.01,0.3,2653.921294,39.64077415,0.520059643
30,0.01,0.31,2649.638795,39.71626742,0.520834099
31,0.01,0.32,2653.064967,39.63428296,0.520214503
32,0.01,0.33,2667.791617,39.82034338,0.517551307
33,0.01,0.34,2651.384206,39.61328881,0.520518455
34,0.01,0.35,2695.574683,40.02051204,0.512526962
35,0.01,0.36,2647.247981,39.68263327,0.521266458
36,0.01,0.37,2666.694623,39.76205094,0.517749689
37,0.01,0.38,2664.842233,39.66171998,0.518084679
38,0.01,0.39,2651.209045,39.59940685,0.520550132
39,0.01,0.4,2658.895044,39.77853985,0.519160181
40,0.01,0.41,2651.999744,39.71624015,0.52040714
41,0.01,0.42,2659.305916,39.63119436,0.519085878
42,0.01,0.43,2652.46394,39.70281936,0.520323194
43,0.01,0.44,2677.91564,39.91939,0.515720458
44,0.01,0.45,2665.765193,39.80682169,0.517917769
45,0.01,0.46,2662.571018,39.7980386,0.51849541
46,0.01,0.47,2661.03162,39.84169937,0.518773798
47,0.01,0.48,2653.39596,39.65237851,0.520154646
48,0.01,0.49,2659.918508,39.73903278,0.518975095
49,0.01,0.5,2652.273751,39.64929285,0.520357588
50,0.01,0.51,2644.635962,39.66072146,0.521738821
51,0.01,0.52,2652.340097,39.73483309,0.52034559
52,0.01,0.53,2660.159302,39.80901806,0.51893155
53,0.01,0.54,2642.492701,39.64184529,0.522126413
54,0.01,0.55,2623.196609,39.42726779,0.525615956
55,0.01,0.56,2649.341997,39.69047377,0.520887772
56,0.01,0.57,2660.251552,39.72589296,0.518914867
57,0.01,0.58,2671.229054,39.86806557,0.516929674
58,0.01,0.59,2646.276479,39.6294185,0.521442147
59,0.01,0.6,2673.377789,39.87704091,0.516541092
60,0.01,0.61,2668.705709,39.81474795,0.517386001
61,0.01,0.62,2660.709393,39.67232509,0.51883207
62,0.01,0.63,2664.623049,39.87634786,0.518124317
63,0.01,0.64,2657.245223,39.74954889,0.519458537
64,0.01,0.65,2675.241897,39.85382508,0.516203984
65,0.01,0.66,2651.389528,39.75626237,0.520517493
66,0.01,0.67,2656.555597,39.71629237,0.519583251
67,0.01,0.68,2674.719016,39.86540382,0.516298542
68,0.01,0.69,2658.340775,39.76653651,0.519260416
69,0.01,0.7,2681.222557,39.89956988,0.515122429
70,0.01,0.71,2662.4499,39.82947129,0.518517313
71,0.01,0.72,2659.474194,39.73781147,0.519055446
72,0.01,0.73,2656.476933,39.69592767,0.519597476
73,0.01,0.74,2656.784612,39.79504257,0.519541835
74,0.01,0.75,2655.799754,39.71354462,0.519719939
75,0.01,0.76,2646.248783,39.65363453,0.521447155
76,0.01,0.77,2659.899031,39.77423907,0.518978618
77,0.01,0.78,2658.263956,39.68722596,0.519274308
78,0.01,0.79,2651.980495,39.70925469,0.520410621
79,0.01,0.8,2652.383677,39.71084149,0.520337709
80,0.01,0.81,2635.668062,39.52607028,0.523360594
81,0.01,0.82,2658.115684,39.60412722,0.519301122
82,0.01,0.83,2660.723802,39.78379258,0.518829464
83,0.01,0.84,2635.516833,39.56988658,0.523387942
84,0.01,0.85,2660.153545,39.80758804,0.518932591
85,0.01,0.86,2666.071561,39.80945181,0.517862365
86,0.01,0.87,2656.892816,39.74198518,0.519522267
87,0.01,0.88,2641.58318,39.48843769,0.522290892
88,0.01,0.89,2637.953158,39.71143067,0.522947353
89,0.01,0.9,2669.912589,39.87470812,0.517167746
90,0.01,0.91,2639.265572,39.51140463,0.522710013
91,0.01,0.92,2651.913192,39.66054587,0.520422792
92,0.01,0.93,2647.962008,39.57292693,0.521137332
93,0.01,0.94,2634.87184,39.65991502,0.523504584
94,0.01,0.95,2661.368125,39.79873991,0.518712944
95,0.01,0.96,2649.451868,39.66903735,0.520867903
96,0.01,0.97,2653.474809,39.72004276,0.520140387
97,0.01,0.98,2656.831827,39.70243587,0.519533297
98,0.01,0.99,2671.852079,39.87536661,0.516817005
99,0.02,0.01,2647.312252,39.66040708,0.521254836
100,0.02,0.02,2642.851606,39.60242978,0.522061507
101,0.02,0.03,2643.798412,39.65999822,0.521890285
102,0.02,0.04,2651.195647,39.66899597,0.520552555
103,0.02,0.05,2653.764861,39.72405682,0.520087933
104,0.02,0.06,2651.246511,39.67276592,0.520543356
105,0.02,0.07,2675.015385,39.84606348,0.516244946
106,0.02,0.08,2656.331015,39.7105087,0.519623865
107,0.02,0.09,2659.381686,39.84291942,0.519072175
108,0.02,0.1,2672.231664,39.79411735,0.51674836
109,0.02,0.11,2656.071596,39.80548049,0.519670778
110,0.02,0.12,2657.893907,39.74593515,0.519341228
111,0.02,0.13,2655.508574,39.7444293,0.519772596
112,0.02,0.14,2678.321867,39.88313956,0.515646996
113,0.02,0.15,2662.86366,39.76840878,0.518442488
114,0.02,0.16,2658.663775,39.72520094,0.519202004
115,0.02,0.17,2664.516753,39.72559603,0.51814354
116,0.02,0.18,2675.299522,39.85292534,0.516193563
117,0.02,0.19,2681.916797,39.83775508,0.514996881
118,0.02,0.2,2638.721146,39.58464104,0.522808468
119,0.02,0.21,2668.365837,39.83236986,0.517447464
120,0.02,0.22,2666.930194,39.78407417,0.517707088
121,0.02,0.23,2649.866131,39.65214001,0.520792987
122,0.02,0.24,2657.302405,39.74999364,0.519448197
123,0.02,0.25,2669.828792,39.89619525,0.5171829
124,0.02,0.26,2664.09147,39.78364998,0.518220449
125,0.02,0.27,2656.280878,39.73977887,0.519632932
126,0.02,0.28,2659.269607,39.68247978,0.519092444
127,0.02,0.29,2654.307409,39.74154866,0.519989818
128,0.02,0.3,2638.884456,39.592298,0.522778935
129,0.02,0.31,2673.06869,39.84162153,0.51659699
130,0.02,0.32,2669.605682,39.86642309,0.517223248
131,0.02,0.33,2665.891971,39.84265375,0.517894842
132,0.02,0.34,2664.833986,39.87772225,0.518086171
133,0.02,0.35,2658.088405,39.67234528,0.519306055
134,0.02,0.36,2648.800953,39.66292253,0.520985616
135,0.02,0.37,2652.835647,39.67915451,0.520255974
136,0.02,0.38,2672.600867,39.80209713,0.516681593
137,0.02,0.39,2659.274031,39.75437469,0.519091644
138,0.02,0.4,2660.639164,39.7958255,0.51884477
139,0.02,0.41,2673.772618,39.88687682,0.516469691
140,0.02,0.42,2675.439887,39.83378851,0.516168179
141,0.02,0.43,2679.153526,39.86489622,0.515496597
142,0.02,0.44,2650.289309,39.75592717,0.520716459
143,0.02,0.45,2657.376654,39.69125897,0.519434769
144,0.02,0.46,2668.729153,39.7843166,0.517381761
145,0.02,0.47,2664.04385,39.77643264,0.51822906
146,0.02,0.48,2671.227554,40.00951333,0.516929945
147,0.02,0.49,2641.158513,39.58165943,0.52236769
148,0.02,0.5,2659.785812,39.72506432,0.518999092
149,0.02,0.51,2658.661238,39.79868815,0.519202463
150,0.02,0.52,2651.323601,39.64302461,0.520529415
151,0.02,0.53,2658.021871,39.8655526,0.519318087
152,0.02,0.54,2660.165482,39.75218467,0.518930432
153,0.02,0.55,2660.823426,39.78362961,0.518811448
154,0.02,0.56,2641.214002,39.63923309,0.522357655
155,0.02,0.57,2657.954208,39.75929057,0.519330323
156,0.02,0.58,2640.033852,39.63086508,0.522571076
157,0.02,0.59,2633.80789,39.52883989,0.523696991
158,0.02,0.6,2650.409355,39.64256625,0.520694749
159,0.02,0.61,2652.854585,39.74584437,0.520252549
160,0.02,0.62,2662.441274,39.82420098,0.518518873
161,0.02,0.63,2641.69191,39.6186949,0.522271229
162,0.02,0.64,2683.749654,39.90557972,0.514665424
163,0.02,0.65,2644.626053,39.62693782,0.521740613
164,0.02,0.66,2655.125092,39.73694402,0.519841946
165,0.02,0.67,2669.03056,39.74121657,0.517327254
166,0.02,0.68,2632.400836,39.55098983,0.523951445
167,0.02,0.69,2652.464367,39.71563571,0.520323117
168,0.02,0.7,2628.258757,39.44852489,0.524700507
169,0.02,0.71,2655.224602,39.74875076,0.519823951
170,0.02,0.72,2664.581176,39.81363133,0.518131889
171,0.02,0.73,2666.212459,39.82562315,0.517836885
172,0.02,0.74,2667.031302,39.85530674,0.517688804
173,0.02,0.75,2662.438856,39.71480502,0.518519311
174,0.02,0.76,2668.26065,39.88923608,0.517466486
