,alpha,acc,f1
0,0.01,0.177864078,[0.         0.         0.         0.         0.30201121 0.        ]
1,0.02,0.177864078,[0.         0.         0.         0.         0.30201121 0.        ]
2,0.03,0.177864078,[0.         0.         0.         0.         0.30201121 0.        ]
3,0.04,0.198446602,[0.         0.2268431  0.         0.         0.31247791 0.03435115]
4,0.05,0.210873786,[0.26446281 0.11845103 0.         0.         0.31448896 0.00400802]
5,0.06,0.204660194,[0.26684636 0.         0.         0.         0.30971512 0.01590457]
6,0.07,0.246990291,[0.37513398 0.         0.         0.         0.33731853 0.18644068]
7,0.08,0.252815534,[0.31876607 0.13822894 0.         0.         0.33686148 0.28013029]
8,0.09,0.246601942,[0.34942529 0.         0.         0.         0.33303085 0.25522552]
9,0.1,0.254368932,[0.37060041 0.         0.         0.         0.34205231 0.26433431]
10,0.11,0.24776699,[0.35280899 0.         0.         0.         0.34123223 0.24618515]
11,0.12,0.248543689,[0.36152955 0.         0.         0.         0.34199339 0.24327019]
12,0.13,0.238446602,[0.31188119 0.         0.         0.         0.3368984  0.23630505]
13,0.14,0.235339806,[0.30318471 0.         0.         0.         0.33602875 0.23298969]
14,0.15,0.235339806,[0.30077121 0.         0.         0.0042735  0.33497097 0.2351717 ]
15,0.16,0.238446602,[0.31328321 0.         0.         0.0042735  0.33738192 0.23615465]
16,0.17,0.243883495,[0.34731935 0.0056338  0.         0.0042735  0.33907778 0.23298969]
17,0.18,0.245436893,[0.35024876 0.01685393 0.00566572 0.00429185 0.33787731 0.22707424]
18,0.19,0.251650485,[0.35101254 0.05420054 0.01123596 0.00429185 0.34146341 0.24096386]
19,0.2,0.260194175,[0.35450237 0.06282723 0.01120448 0.01687764 0.34693878 0.27843137]
20,0.21,0.262912621,[0.36241611 0.07349081 0.0056338  0.00426439 0.3487882  0.28087649]
21,0.22,0.271456311,[0.36923077 0.095      0.00566572 0.0042735  0.34880952 0.31927213]
22,0.23,0.28038835,[0.36852207 0.09       0.00564972 0.00426439 0.34799235 0.36018237]
23,0.24,0.277669903,[0.37107517 0.08247423 0.         0.0042735  0.35414013 0.34065102]
24,0.25,0.275339806,[0.37168142 0.08101266 0.03287671 0.0042735  0.34296251 0.34115806]
25,0.26,0.276116505,[0.36565657 0.16216216 0.00561798 0.00852878 0.34957369 0.32666133]
26,0.27,0.278834951,[0.37750238 0.13333333 0.         0.0042735  0.35133457 0.33333333]
27,0.28,0.278834951,[0.37073171 0.12796209 0.         0.0042735  0.35092181 0.3427697 ]
28,0.29,0.281941748,[0.37281553 0.2045929  0.         0.04106776 0.34600113 0.32850242]
29,0.3,0.280776699,[0.36220472 0.17987152 0.         0.0042735  0.3510825  0.34476693]
30,0.31,0.28776699,[0.37487923 0.21301775 0.         0.0042735  0.35585865 0.34953112]
31,0.32,0.288543689,[0.36434109 0.2243346  0.0056338  0.00429185 0.35252644 0.36295603]
32,0.33,0.298252427,[0.36438923 0.26870748 0.         0.02505219 0.36484046 0.36956522]
33,0.34,0.292815534,[0.36901121 0.22355289 0.         0.00428266 0.35505081 0.37244898]
34,0.35,0.299805825,[0.37410072 0.25468165 0.01108033 0.01687764 0.36300578 0.37476809]
35,0.36,0.29631068,[0.37538462 0.18552036 0.         0.02526316 0.35798122 0.38      ]
36,0.37,0.303300971,[0.37924152 0.23484848 0.00558659 0.02904564 0.36744464 0.38593327]
37,0.38,0.292815534,[0.37894737 0.22352941 0.02216066 0.00424628 0.36122331 0.35377778]
38,0.39,0.310679612,[0.36830835 0.2676311  0.01120448 0.03312629 0.37433155 0.40175439]
39,0.4,0.306796117,[0.36760125 0.23742455 0.00560224 0.05189621 0.36656716 0.40276577]
40,0.41,0.306407767,[0.3558952  0.24667932 0.00558659 0.05241935 0.37387657 0.39695946]
41,0.42,0.300970874,[0.34743875 0.25581395 0.00560224 0.04435484 0.36766467 0.38582028]
42,0.43,0.306019417,[0.36876356 0.24048096 0.         0.04897959 0.36806825 0.39259855]
43,0.44,0.311067961,[0.3780359  0.26890756 0.         0.00428266 0.37782076 0.4025974 ]
44,0.45,0.318834951,[0.3740374  0.27586207 0.01114206 0.01279318 0.38466537 0.41731066]
45,0.46,0.31184466,[0.38189845 0.26296296 0.01114206 0.02531646 0.3700495  0.40159363]
46,0.47,0.310291262,[0.38610827 0.25918762 0.01120448 0.01260504 0.3709579  0.39593909]
47,0.48,0.309514563,[0.37644585 0.22834646 0.01657459 0.05952381 0.37028015 0.40236686]
48,0.49,0.319223301,[0.39740821 0.28571429 0.01108033 0.05964215 0.36727046 0.41275168]
49,0.5,0.318058252,[0.38577586 0.27304965 0.01120448 0.06666667 0.36791852 0.41803279]
50,0.51,0.305631068,[0.37419355 0.23371648 0.01108033 0.01694915 0.36892052 0.39864292]
51,0.52,0.314563107,[0.3822314  0.24427481 0.01114206 0.08829175 0.36823105 0.41218638]
52,0.53,0.314174757,[0.37901499 0.26714801 0.01101928 0.06036217 0.36848485 0.41145833]
53,0.54,0.314951456,[0.37927233 0.26765799 0.         0.07058824 0.37130271 0.4064    ]
54,0.55,0.313009709,[0.36813778 0.26211849 0.01111111 0.0696325  0.37046467 0.41282895]
55,0.56,0.313786408,[0.37751856 0.26519337 0.0166205  0.01684211 0.37806452 0.40375587]
56,0.57,0.32,[0.37405405 0.26811594 0.01657459 0.09980806 0.37484433 0.41722973]
57,0.58,0.313398058,[0.36689038 0.3024055  0.         0.06324111 0.36842105 0.40159363]
58,0.59,0.325048544,[0.37919827 0.28163993 0.03814714 0.09689922 0.3797954  0.41673503]
59,0.6,0.311456311,[0.37739872 0.30150754 0.00560224 0.05577689 0.36171617 0.39645447]
60,0.61,0.323883495,[0.38662487 0.29202037 0.0166205  0.12363636 0.37799353 0.40766551]
61,0.62,0.323495146,[0.38847385 0.29616725 0.02754821 0.08380952 0.37169312 0.41646489]
62,0.63,0.323106796,[0.37796976 0.32900433 0.01657459 0.056      0.37711313 0.4173298 ]
63,0.64,0.315728155,[0.38388123 0.29351536 0.0166205  0.01680672 0.3777336  0.39843137]
64,0.65,0.32815534,[0.38204593 0.27749577 0.02747253 0.11175337 0.38183015 0.42702252]
65,0.66,0.326213592,[0.38653637 0.27046263 0.04878049 0.11211573 0.38338658 0.41694915]
66,0.67,0.318834951,[0.37837838 0.29815745 0.01652893 0.06563707 0.37724181 0.41061947]
