,alpha,beta,acc,f1
0,0.01,1,0.8646206896551724,"[0.9212449  0.84615385 0.6557377  0.41137856 0.76238335 0.
 0.        ]"
1,0.02,1,0.8724827586206897,"[0.92535377 0.88888889 0.67741935 0.42857143 0.83344663 0.
 0.        ]"
2,0.03,1,0.8817241379310344,"[0.93056065 0.69565217 0.6557377  0.4822547  0.86375661 0.
 0.        ]"
3,0.04,1,0.8768275862068966,"[0.92772358 0.88888889 0.61016949 0.4431737  0.86432826 0.
 0.        ]"
4,0.05,1,0.8763448275862069,"[0.92753505 0.8        0.61016949 0.4417441  0.86206897 0.
 0.        ]"
5,0.060000000000000005,1,0.88,"[0.9298024  0.8        0.63333333 0.45898161 0.87312947 0.
 0.        ]"
6,0.06999999999999999,1,0.8791724137931034,"[0.92921147 0.69565217 0.5862069  0.44452347 0.8916129  0.
 0.        ]"
7,0.08,1,0.8863448275862069,"[0.93295724 0.84615385 0.63333333 0.51213675 0.86990802 0.
 0.        ]"
8,0.09,1,0.8875862068965518,"[0.93360605 0.88888889 0.61016949 0.4949879  0.9077021  0.
 0.        ]"
9,0.09999999999999999,1,0.8869655172413793,"[0.93330062 0.8        0.61016949 0.49342561 0.90433673 0.
 0.        ]"
10,0.11,1,0.8931724137931034,"[0.93690217 0.84615385 0.61016949 0.51902174 0.92968264 0.
 0.        ]"
11,0.12,1,0.888551724137931,"[0.93437052 0.8        0.63333333 0.51091405 0.89504185 0.
 0.        ]"
12,0.13,1,0.8929655172413793,"[0.93663301 0.92857143 0.61016949 0.52756172 0.91608833 0.
 0.        ]"
13,0.14,1,0.908,"[0.94536266 0.69565217 0.63333333 0.59600515 0.96340732 0.
 0.        ]"
14,0.15000000000000002,1,0.9003448275862069,"[0.94110369 0.69565217 0.61016949 0.54272363 0.96588869 0.
 0.        ]"
15,0.16,1,0.8957931034482759,"[0.93867478 0.69565217 0.5862069  0.53131313 0.93684856 0.
 0.        ]"
16,0.17,1,0.8988275862068965,"[0.94013925 0.92857143 0.63333333 0.52617359 0.9707113  0.
 0.        ]"
17,0.18000000000000002,1,0.9067586206896552,"[0.94456634 0.69565217 0.63333333 0.5793238  0.97798929 0.
 0.        ]"
18,0.19,1,0.9233103448275862,"[0.95392591 0.92857143 0.63333333 0.6881203  0.96634615 0.
 0.        ]"
19,0.2,1,0.9102068965517242,"[0.94653892 0.8        0.5862069  0.60006425 0.97867299 0.
 0.        ]"
20,0.21000000000000002,1,0.9100689655172414,"[0.94659973 0.8        0.61016949 0.60971737 0.96447923 0.
 0.        ]"
21,0.22,1,0.9157931034482759,"[0.94985005 0.8        0.6557377  0.63828465 0.97445039 0.
 0.        ]"
22,0.23,1,0.9124827586206896,"[0.94775778 0.92857143 0.5862069  0.61382372 0.9811098  0.
 0.        ]"
23,0.24000000000000002,1,0.9080689655172414,"[0.94577564 0.69565217 0.5862069  0.59416105 0.96597015 0.
 0.        ]"
24,0.25,1,0.9215862068965517,"[0.95320465 0.69565217 0.5862069  0.67534827 0.97258641 0.
 0.        ]"
25,0.26,1,0.9190344827586207,"[0.95144982 0.8        0.61016949 0.65549802 0.98701299 0.
 0.        ]"
26,0.27,1,0.928,"[0.95693057 0.69565217 0.63333333 0.70383481 0.98588235 0.
 0.        ]"
27,0.28,1,0.9265517241379311,"[0.95575963 0.8        0.63333333 0.69500595 0.98999411 0.
 0.        ]"
28,0.29000000000000004,1,0.9271724137931034,"[0.95619672 0.69565217 0.5862069  0.70041201 0.99120235 0.
 0.        ]"
29,0.3,1,0.9159310344827586,"[0.9497039  0.69565217 0.63333333 0.63681285 0.9870283  0.
 0.        ]"
30,0.31,1,0.9170344827586207,"[0.95077321 0.69565217 0.6557377  0.63681592 0.98591549 0.
 0.        ]"
31,0.32,1,0.924344827586207,"[0.95443685 0.88888889 0.63333333 0.68259182 0.99177438 0.
 0.        ]"
32,0.33,1,0.9168275862068965,"[0.95008347 0.92857143 0.67741935 0.63829787 0.99059929 0.
 0.        ]"
33,0.34,1,0.9241379310344827,"[0.95432068 0.8        0.61016949 0.68554396 0.98701299 0.
 0.        ]"
34,0.35000000000000003,1,0.9182758620689655,"[0.95121136 0.69565217 0.6557377  0.64894592 0.98822144 0.
 0.        ]"
35,0.36000000000000004,1,0.924,"[0.95417156 0.8        0.6557377  0.68308605 0.9924021  0.
 0.        ]"
36,0.37,1,0.924,"[0.95434919 0.92857143 0.63333333 0.68198091 0.98823529 0.
 0.        ]"
37,0.38,1,0.9242758620689655,"[0.95454736 0.69565217 0.6557377  0.68578256 0.98463357 0.
 0.        ]"
38,0.39,1,0.9143448275862069,"[0.94872436 0.69565217 0.63333333 0.62395023 0.99356349 0.
 0.        ]"
39,0.4,1,0.9266206896551724,"[0.9558601  0.69565217 0.73846154 0.69730679 0.99119201 0.
 0.        ]"
40,0.41000000000000003,1,0.9284827586206896,"[0.95688749 0.69565217 0.67741935 0.70804196 0.99119201 0.
 0.        ]"
41,0.42000000000000004,1,0.9215172413793103,"[0.95285152 0.69565217 0.73846154 0.66726889 0.99061033 0.
 0.        ]"
42,0.43,1,0.9246206896551724,"[0.95452069 0.84615385 0.73846154 0.68203593 0.9923843  0.
 0.        ]"
43,0.44,1,0.9297931034482758,"[0.95740655 0.92857143 0.73846154 0.7100557  0.9941452  0.
 0.        ]"
44,0.45,1,0.9272413793103448,"[0.95612708 0.92857143 0.75757576 0.69764706 0.99120235 0.
 0.        ]"
45,0.46,1,0.9193103448275862,"[0.95157314 0.8        0.73846154 0.65239988 0.99000588 0.
 0.        ]"
46,0.47000000000000003,1,0.9324827586206896,"[0.9590402  0.92857143 0.73846154 0.72436828 0.99295775 0.
 0.        ]"
47,0.48000000000000004,1,0.9204137931034483,"[0.95210207 0.89655172 0.73846154 0.65774262 0.99239321 0.
 0.        ]"
48,0.49,1,0.9297931034482758,"[0.95746203 0.92857143 0.8115942  0.71157772 0.99059929 0.
 0.        ]"
