alpha,beta,MSE,MAE,R2
0.1,0.1,0.000572168,0.010531341,0.805399188
0.1,0.2,0.000582777,0.010487138,0.801790845
0.1,0.3,0.000582532,0.010509051,0.801874242
0.1,0.4,0.000600822,0.010582248,0.79565373
0.1,0.5,0.00059425,0.010534133,0.797888666
0.1,0.6,0.00060284,0.010525601,0.79496727
0.1,0.7,0.000620635,0.010551579,0.788915132
0.1,0.8,0.000625922,0.010584693,0.787116764
0.1,0.9,0.00062803,0.010566632,0.786399726
0.2,0.1,0.00056301,0.010475422,0.808513983
0.2,0.2,0.000582355,0.01051235,0.801934475
0.2,0.3,0.000604339,0.010509023,0.794457317
0.2,0.4,0.000595867,0.010549289,0.797338738
0.2,0.5,0.000608018,0.010560745,0.793206244
0.2,0.6,0.000613836,0.010566783,0.791227405
0.2,0.7,0.000621865,0.010617101,0.788496803
0.2,0.8,0.000618132,0.01056129,0.789766405
0.2,0.9,0.000628742,0.010594809,0.786157745
0.3,0.1,0.000590047,0.010533663,0.799318248
0.3,0.2,0.000575967,0.010500811,0.804106976
0.3,0.3,0.000592227,0.010533521,0.798576898
0.3,0.4,0.000612471,0.010592885,0.791691692
0.3,0.5,0.000598822,0.01052919,0.796333792
0.3,0.6,0.000615057,0.010554481,0.79081197
0.3,0.7,0.000624511,0.010587879,0.787596849
0.3,0.8,0.000623093,0.010578512,0.788079034
0.3,0.9,0.000632421,0.010627251,0.784906408
0.4,0.1,0.000595654,0.010534319,0.797411238
0.4,0.2,0.000580498,0.010529247,0.802566015
0.4,0.3,0.000595679,0.010549197,0.797402854
0.4,0.4,0.000591166,0.010552805,0.798937843
0.4,0.5,0.000608058,0.010539362,0.793192592
0.4,0.6,0.000606272,0.010512128,0.793800121
0.4,0.7,0.000616819,0.010507815,0.790212823
0.4,0.8,0.000626367,0.010606207,0.786965561
0.4,0.9,0.000621214,0.010584764,0.788718007
0.5,0.1,0.000580418,0.010474758,0.802593347
0.5,0.2,0.000582215,0.010508201,0.801982083
0.5,0.3,0.000594638,0.010502993,0.797756848
0.5,0.4,0.000603032,0.010523614,0.794901909
0.5,0.5,0.000612144,0.010538978,0.791802811
0.5,0.6,0.000615371,0.01054669,0.790705417
0.5,0.7,0.000638948,0.010567712,0.782686451
0.5,0.8,0.000626832,0.010573893,0.786807163
0.5,0.9,0.000615556,0.010591522,0.790642482
0.6,0.1,0.000589191,0.010511466,0.799609395
0.6,0.2,0.000590111,0.01049225,0.799296497
0.6,0.3,0.000581567,0.010507778,0.802202407
0.6,0.4,0.000604996,0.010527441,0.794233828
0.6,0.5,0.000621999,0.010559529,0.788451025
0.6,0.6,0.000602745,0.010536482,0.794999544
0.6,0.7,0.000611453,0.010535359,0.792037801
0.6,0.8,0.000630303,0.010583393,0.785626808
0.6,0.9,0.00062982,0.010592363,0.785791212
0.7,0.1,0.000585692,0.010519635,0.800799576
0.7,0.2,0.00059401,0.010515628,0.79797033
0.7,0.3,0.000600021,0.010532471,0.795926101
0.7,0.4,0.000585201,0.010580328,0.800966533
0.7,0.5,0.000604489,0.01057486,0.794406528
0.7,0.6,0.000616522,0.010522562,0.79031398
0.7,0.7,0.000632862,0.010608572,0.784756593
0.7,0.8,0.000622096,0.010588542,0.788417926
0.7,0.9,0.000630183,0.010558794,0.785667484
0.8,0.1,0.000577387,0.01053236,0.8036241
0.8,0.2,0.000573508,0.010492163,0.804943298
0.8,0.3,0.000590512,0.010557153,0.799160069
0.8,0.4,0.000591709,0.010550891,0.798752872
0.8,0.5,0.000593833,0.010507821,0.798030586
0.8,0.6,0.000607733,0.010570973,0.79330294
0.8,0.7,0.000613694,0.010567798,0.791275734
0.8,0.8,0.00061157,0.010585947,0.791997986
0.8,0.9,0.000624327,0.010561137,0.787659352
0.9,0.1,0.000582565,0.010515795,0.801863133
0.9,0.2,0.000579652,0.01048332,0.802853704
0.9,0.3,0.00058048,0.01052417,0.80257218
0.9,0.4,0.00059365,0.01051898,0.798092925
0.9,0.5,0.000604042,0.010539784,0.794558417
0.9,0.6,0.000614429,0.010549864,0.791025568
0.9,0.7,0.000615728,0.010548424,0.790583986
0.9,0.8,0.000611605,0.010557788,0.791986345
0.9,0.9,0.000625834,0.010596622,0.787146583
