alpha,beta,MSE,MAE,R2
0.01,0.01,0.000570349,0.010495041,0.80601769
0.02,0.02,0.000567774,0.010489073,0.806893493
0.03,0.03,0.000560436,0.010490812,0.809389432
0.04,0.04,0.000570202,0.010512723,0.806067701
0.05,0.05,0.000584343,0.010525624,0.801258425
0.06,0.06,0.000578078,0.01052055,0.803388965
0.07,0.07,0.000582635,0.010549645,0.801839068
0.08,0.08,0.000581334,0.010523583,0.802281801
0.09,0.09,0.000580077,0.010542114,0.802709277
0.1,0.1,0.000592705,0.010529189,0.798414388
0.11,0.11,0.000590075,0.010506115,0.799308859
0.12,0.12,0.0005844,0.010514871,0.801238804
0.13,0.13,0.00057964,0.010532153,0.802857836
0.14,0.14,0.00057808,0.01051446,0.803388419
0.15,0.15,0.000592615,0.010511996,0.798444796
0.16,0.16,0.000587672,0.0105484,0.800126187
0.17,0.17,0.000587133,0.010521879,0.800309424
0.18,0.18,0.000587012,0.01049806,0.800350492
0.19,0.19,0.00058238,0.010517519,0.801925871
0.2,0.2,0.000595394,0.010553908,0.797499771
0.21,0.21,0.000587491,0.010530782,0.800187508
0.22,0.22,0.000582044,0.010495021,0.802040114
0.23,0.23,0.000582543,0.010541566,0.801870379
0.24,0.24,0.000591501,0.01051143,0.798823798
0.25,0.25,0.00058342,0.010487354,0.801572259
0.26,0.26,0.000585996,0.010521118,0.800696177
0.27,0.27,0.000597145,0.010508558,0.796904063
0.28,0.28,0.000578204,0.010500523,0.803346207
0.29,0.29,0.000594956,0.010530823,0.797648832
0.3,0.3,0.00058015,0.010540413,0.802684228
0.31,0.31,0.000584598,0.01054723,0.801171627
0.32,0.32,0.000586901,0.010526413,0.800388153
0.33,0.33,0.000578707,0.01053019,0.803175139
0.34,0.34,0.000583804,0.010512274,0.801441452
0.35,0.35,0.000583143,0.010567287,0.801666576
0.36,0.36,0.000595216,0.010538106,0.797560138
0.37,0.37,0.000594057,0.010525159,0.797954605
0.38,0.38,0.000601412,0.010523519,0.795452867
0.39,0.39,0.000602877,0.010513652,0.794954719
0.4,0.4,0.000596032,0.01047792,0.797282827
0.41,0.41,0.000619654,0.010556164,0.789248637
0.42,0.42,0.000608023,0.010548057,0.793204567
0.43,0.43,0.000592104,0.010542275,0.798618832
0.44,0.44,0.000607637,0.010558206,0.793335816
0.45,0.45,0.000602969,0.010569215,0.794923548
0.46,0.46,0.000622012,0.010571714,0.788446661
0.47,0.47,0.000605349,0.010533769,0.794113853
0.48,0.48,0.000605227,0.010532903,0.794155353
0.49,0.49,0.000609266,0.010502611,0.792781773
0.5,0.5,0.000608617,0.010532798,0.793002511
0.51,0.51,0.00061722,0.010563878,0.790076318
0.52,0.52,0.000606587,0.010540623,0.793692804
0.53,0.53,0.000613061,0.010538988,0.791491014
0.54,0.54,0.000616447,0.010533738,0.790339293
0.55,0.55,0.00060136,0.0105095,0.795470648
0.56,0.56,0.000608013,0.010522254,0.793207884
0.57,0.57,0.000617285,0.010535221,0.790054308
0.58,0.58,0.000620371,0.010582956,0.789004617
0.59,0.59,0.000611812,0.010579894,0.791915757
0.6,0.6,0.000596743,0.010515147,0.797040933
0.61,0.61,0.000613389,0.01058235,0.791379326
0.62,0.62,0.000619267,0.010557397,0.789380213
0.63,0.63,0.000625643,0.010546183,0.787211764
0.64,0.64,0.000619025,0.010564685,0.789462387
0.65,0.65,0.000619006,0.010532167,0.789469177
0.66,0.66,0.000627782,0.010583769,0.786484112
0.67,0.67,0.000618189,0.010547867,0.789746926
0.68,0.68,0.000609542,0.010529484,0.792687934
0.69,0.69,0.00061131,0.010518165,0.792086555
0.7,0.7,0.0006148,0.010581021,0.790899487
0.71,0.71,0.000626108,0.010591815,0.787053464
0.72,0.72,0.000604552,0.01056005,0.794385013
0.73,0.73,0.000614288,0.010583705,0.79107367
0.74,0.74,0.000619638,0.010605767,0.789254048
0.75,0.75,0.000613989,0.010531857,0.791175343
0.76,0.76,0.000615289,0.010583608,0.790733146
0.77,0.77,0.000617645,0.010543268,0.789931972
0.7,0.7,0.000604271,0.010543257,0.794480682
0.71,0.71,0.000626472,0.010576397,0.786929844
0.72,0.72,0.000611084,0.010512325,0.79216336
0.73,0.73,0.000633157,0.010593804,0.784656151
0.74,0.74,0.00061821,0.010549262,0.78973963
0.75,0.75,0.000623918,0.010552271,0.787798474
0.76,0.76,0.000614779,0.010514562,0.790906777
0.77,0.77,0.000636633,0.01060365,0.783473944
0.78,0.78,0.000625641,0.010617359,0.787212372
0.79,0.79,0.000624828,0.010575531,0.787488742
0.8,0.8,0.000622298,0.01058653,0.788349473
0.81,0.81,0.000631034,0.010578072,0.785378028
0.82,0.82,0.00062255,0.010593303,0.788263591
0.83,0.83,0.000627193,0.010587566,0.786684663
0.84,0.84,0.000627077,0.010595238,0.786724055
0.85,0.85,0.000627977,0.010639295,0.786417721
0.86,0.86,0.000622024,0.010605586,0.788442476
0.87,0.87,0.000631392,0.010645752,0.785256259
0.88,0.88,0.000620292,0.010568748,0.789031742
0.89,0.89,0.000633271,0.010630846,0.78461723
0.9,0.9,0.000628692,0.010589541,0.786174578
0.91,0.91,0.000630868,0.01062927,0.785434769
0.92,0.92,0.000640112,0.010621189,0.782290569
0.93,0.93,0.000616505,0.010617911,0.790319611
0.94,0.94,0.000631833,0.010635622,0.78510647
0.95,0.95,0.000618461,0.010594702,0.789654221
0.96,0.96,0.000635582,0.010622921,0.783831164
0.97,0.97,0.000621892,0.010595806,0.788487562
0.98,0.98,0.000651193,0.01059727,0.778521962
0.99,0.99,0.000630017,0.01060329,0.78572412
